,CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL,SMILES_check
949,B1683,Brimonidine Tartrate,70359-46-5,G05,L1021-11,442.22,DMSO,C15H16BrN5O6,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.C(C(C(=O)O)O)(C(=O)O)O,≥22.11 mg/mL in DMSO; insoluble in EtOH; ≥10.14 mg/mL in H2O with ultrasonic,Tartrate,GPCR/G protein,Adrenergic Receptor,Highly selective α-adrenergic receptor agonist,https://www.apexbt.com/search.php?catalog=B1683,1
950,B1684,Bromfenac Sodium,91714-93-1,G06,L1021-11,356.15,DMSO,C15H11BrNO3·Na,C1=CC(=C(C(=C1)CC(=O)[O-])N)C(=O)C2=CC=C(C=C2)Br.[Na+],insoluble in EtOH; ≥14.7 mg/mL in DMSO; ≥26.85 mg/mL in H2O,Sodium,Neuroscience,COX,COX inhibitor,https://www.apexbt.com/search.php?catalog=B1684,1
951,B1685,Broxyquinoline,521-74-4,G07,L1021-11,302.95,DMSO,C9H5Br2NO,C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1,insoluble in H2O; insoluble in EtOH; ≥9.75 mg/mL in DMSO,Free Base,Microbiology & Virology,Anti-infection,Antiprotozoal agent,https://www.apexbt.com/search.php?catalog=B1685,1
952,B1687,Buspirone HCl,33386-08-2,G08,L1021-11,421.96,DMSO,C21H31N5O2·HCl,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl,≥19.55 mg/mL in DMSO; ≥27.65 mg/mL in H2O; ≥8.37 mg/mL in EtOH with ultrasonic,Hydrochloride,Neuroscience,5-HT Receptor,Classic 5-HT1A partial agonist,https://www.apexbt.com/search.php?catalog=B1687,1
953,B1689,Capreomycin Sulfate,1405-37-4,G09,L1021-11,652.71,H2O,C25H44N14O7,O=C([C@H](C)NC([C@@H](N)CNC1=O)=O)N[C@@H](CNC(C[C@H](CCCN)N)=O)C(N/C(C(N[C@H]1[C@H]2N=C(N)NCC2)=O)=C/NC(N)=O)=O,insoluble in EtOH; insoluble in DMSO; ≥251.8 mg/mL in H2O,,Microbiology & Virology,Anti-infection,Cyclic peptide antibiotic,https://www.apexbt.com/search.php?catalog=B1689,0
954,B1690,Carprofen,53716-49-7,G10,L1021-11,273.71,DMSO,C15 H12ClNO2,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,insoluble in H2O; ≥11.05 mg/mL in DMSO; ≥19.17 mg/mL in EtOH,Free Base,Neuroscience,COX,COX inhibitor,https://www.apexbt.com/search.php?catalog=B1690,1
955,B1691,Ceftriaxone Sodium Trihydrate,104376-79-6,G11,L1021-11,663.61,DMSO,C18H16N8O7S3·7/2H2O·2Na,OC(C1=C(CSC(N2C)=NC(C(N2)=O)=O)CS[C@](N1C3=O)([H])[C@@H]3NC(/C(C4=CSC(N)=N4)=N\OC)=O)=O.[Na+].[Na+],≥26.3 mg/mL in DMSO with gentle warming; insoluble in EtOH; ≥48.4 mg/mL in H2O,Sodium,Microbiology & Virology,Anti-infection,Third-generation cephalosporin antibiotic,https://www.apexbt.com/search.php?catalog=B1691,0
956,B1692,Cephalexin,15686-71-2,H01,L1021-11,347.39,H2O,C16H17N3O4S,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,insoluble in DMSO; insoluble in EtOH; ≥8.7 mg/mL in H2O,Free Base,Microbiology & Virology,Antibiotic,Antibiotic,https://www.apexbt.com/search.php?catalog=B1692,1
957,B1693,Cetrimonium Bromide (CTAB),57-09-0,H02,L1021-11,364.45,DMSO,C19H42N·Br,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],≥112.6 mg/mL in EtOH; ≥5.33 mg/mL in DMSO; ≥54.3 mg/mL in H2O,Free Base,Microbiology & Virology,Anti-infection,Component of the broad-spectrum antiseptic cetrimide,https://www.apexbt.com/search.php?catalog=B1693,1
958,B1694,Cetylpyridinium Chloride,123-03-5,H03,L1021-11,339.99,DMSO,C21H38N·Cl,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],≥117.8 mg/mL in H2O; ≥123.8 mg/mL in EtOH; ≥16.1 mg/mL in DMSO,Chloride,Microbiology & Virology,Anti-infection,Cationic quaternary ammonium compound used as oropharyngeal antiseptic.,https://www.apexbt.com/search.php?catalog=B1694,1
959,B1695,Chlorhexidine HCl,3697-42-5,H04,L1021-11,578.37,DMSO,C22H30Cl2N10·2HCl,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.Cl.Cl,≥24 mg/mL in DMSO with gentle warming; insoluble in H2O; insoluble in EtOH,,Microbiology & Virology,Anti-infection,Antiseptic,https://www.apexbt.com/search.php?catalog=B1695,1
960,B1696,Chlorocresol,59-50-7,H05,L1021-11,142.58,DMSO,C7H7ClO,CC1=C(C=CC(=C1)O)Cl,insoluble in H2O; ≥5.3 mg/mL in DMSO; ≥50.4 mg/mL in EtOH,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,Activator of ryanodine receptor,https://www.apexbt.com/search.php?catalog=B1696,1
961,B1697,Chlorpropamide,94-20-2,H06,L1021-11,276.74,DMSO,C10H13ClN2O3S,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,insoluble in H2O; ≥14 mg/mL in DMSO; ≥27.5 mg/mL in EtOH,Free Base,Others,Others,Oral antihyperglycemic agent,https://www.apexbt.com/search.php?catalog=B1697,1
962,B1698,Chlorquinaldol,72-80-0,H07,L1021-11,228.07,DMSO,C10H7Cl2NO,CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl,insoluble in H2O; ≥10.55 mg/mL in DMSO; ≥5.57 mg/mL in EtOH with ultrasonic,Free Base,Microbiology & Virology,Anti-infection,Antifungal and antibacterial,https://www.apexbt.com/search.php?catalog=B1698,1
963,B1699,Chlortetracycline HCl,64-72-2,H08,L1021-11,515.34,DMSO,C22H23ClN2O8·HCl,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O.Cl,insoluble in EtOH; ≥12.88 mg/mL in H2O with gentle warming and ultrasonic; ≥25.8 mg/mL in DMSO with gentle warming,,Microbiology & Virology,Anti-infection,Tetracycline antibiotic,https://www.apexbt.com/search.php?catalog=B1699,1
964,B1701,Chlorzoxazone,95-25-0,H09,L1021-11,169.57,DMSO,C7H4ClNO2,C1=CC2=C(C=C1Cl)NC(=O)O2,insoluble in H2O; ≥24.8 mg/mL in EtOH; ≥7.9 mg/mL in DMSO,Free Base,Metabolism,P450,Muscle-relaxing drug,https://www.apexbt.com/search.php?catalog=B1701,1
965,B1703,Choline Chloride,67-48-1,H10,L1021-11,139.62,DMSO,C5H14NO·Cl,C[N+](C)(C)CCO.[Cl-],≥112 mg/mL in H2O; ≥6.3 mg/mL in DMSO; ≥65.7 mg/mL in EtOH,Chloride,Neuroscience,AChR,Quaternary ammonium salt,https://www.apexbt.com/search.php?catalog=B1703,1
966,B1704,Chromocarb,4940-39-0,H11,L1021-11,190.15,DMSO,C10H6O4,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,insoluble in H2O; insoluble in EtOH; ≥7.55 mg/mL in DMSO,Free Base,Others,Others,Vasoprotectant,https://www.apexbt.com/search.php?catalog=B1704,1
967,B1705,Cinchophen,132-60-5,A01,L1021-12,249.26,DMSO,C16H11NO2,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,insoluble in H2O; ≥2.5 mg/mL in EtOH with ultrasonic; ≥6.65 mg/mL in DMSO,Free Base,Others,Others,Analgesic drug,https://www.apexbt.com/search.php?catalog=B1705,1
968,B1706,Climbazole,38083-17-9,A02,L1021-12,292.76,DMSO,C15H17ClN2O2,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,insoluble in H2O; ≥13.25 mg/mL in DMSO; ≥59.9 mg/mL in EtOH,Free Base,Microbiology & Virology,Anti-infection,Broad-spectrum imidazole antifungal agent,https://www.apexbt.com/search.php?catalog=B1706,1
969,B1707,Clindamycin,18323-44-9,A03,L1021-12,424.98,DMSO,C18H33ClN2O5S,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,insoluble in EtOH; ≥15.3 mg/mL in DMSO; ≥50.6 mg/mL in H2O,Free Base,Others,Others,Antibiotic,https://www.apexbt.com/search.php?catalog=B1707,1
970,B1708,Clindamycin Phosphate,24729-96-2,A04,L1021-12,504.96,H2O,C18H34ClN2O8PS,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl,≥21.7 mg/mL in H2O; insoluble in EtOH; insoluble in DMSO,Phosphate,Microbiology & Virology,Anti-infection,Lincosamide antibiotic,https://www.apexbt.com/search.php?catalog=B1708,1
971,B1709,Clodronate Disodium,22560-50-5,A05,L1021-12,288.86,H2O,CH2Cl2Na2O6P2,O=P(O)([O-])C(Cl)(Cl)P(O)([O-])=O.[Na+].[Na+],≥28.9 mg/mL in H2O; insoluble in DMSO; insoluble in EtOH,,Others,Others,,https://www.apexbt.com/search.php?catalog=B1709,1
972,B1710,Clofazimine,2030-63-9,A06,L1021-12,473.4,DMSO,C27H22Cl2N4,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,insoluble in H2O; insoluble in EtOH; ≥7 mg/mL in DMSO with gentle warming,Free Base,Metabolism,Phospholipase,Tuberculosis drug,https://www.apexbt.com/search.php?catalog=B1710,1
973,B1711,Clofibric Acid,882-09-7,A07,L1021-12,214.65,DMSO,C10H11ClO3,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,insoluble in H2O; ≥123.2 mg/mL in EtOH; ≥9.35 mg/mL in DMSO,Free Base,Metabolism,PPAR,PPAR agonist,https://www.apexbt.com/search.php?catalog=B1711,1
974,B1713,Clorprenaline HCL,6933-90-0,A08,L1021-12,250.16,DMSO,C11H16ClNO·HCl,CC(C)NCC(C1=CC=CC=C1Cl)O.Cl,≥46.8 mg/mL in H2O; ≥47.8 mg/mL in EtOH; ≥8.35 mg/mL in DMSO,Hydrochloride,GPCR/G protein,Adrenergic Receptor,Adrenergic receptor agonist,https://www.apexbt.com/search.php?catalog=B1713,1
975,B1714,Closantel,57808-65-8,A09,L1021-12,663.07,DMSO,C22H14Cl2I2N2O2,CC1=CC(=C(C=C1NC(=O)C2=CC(=CC(=C2O)I)I)Cl)C(C#N)C3=CC=C(C=C3)Cl,≥29.9 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Microbiology & Virology,Anti-infection,Gram positive antibacterial activity inhibitor,https://www.apexbt.com/search.php?catalog=B1714,1
976,B1715,Closantel Sodium,61438-64-0,A10,L1021-12,685.06,DMSO,C22 H13 Cl2I2N2O2·Na,CC1=CC(=C(C=C1NC(=O)C2=CC(=CC(=C2[O-])I)I)Cl)C(C#N)C3=CC=C(C=C3)Cl.[Na+],≥33.95 mg/mL in DMSO; insoluble in H2O; ≥124.6 mg/mL in EtOH,Free Base,Microbiology & Virology,Anti-infection,Gram positive antibacterial activity inhibitor,https://www.apexbt.com/search.php?catalog=B1715,1
977,B1716,Colistin Sulfate,1264-72-8,A11,L1021-12,1253.51,H2O,H2O4S.xUnspecified,[O-]S(=O)(=O)[O-],≥42.47 mg/mL in H2O with gentle warming; insoluble in DMSO; insoluble in EtOH,,Microbiology & Virology,Anti-infection,Cationic polypeptide antibiotic,https://www.apexbt.com/search.php?catalog=B1716,0
978,B1717,Creatinine,60-27-5,B01,L1021-12,113.12,H2O,C4H7N3O,CN1CC(=O)N=C1N,insoluble in EtOH; ≥11.3 mg/mL in H2O; ≥2.5 mg/mL in DMSO with gentle warming and ultrasonic,,Others,Others,,https://www.apexbt.com/search.php?catalog=B1717,1
979,B1718,Cyclandelate,456-59-7,B02,L1021-12,276.37,DMSO,C17H24O3,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O,≥12.35 mg/mL in DMSO; ≥2.61 mg/mL in H2O with gentle warming and ultrasonic; ≥52.2 mg/mL in EtOH,Free Base,Others,Others,Inhibitor of rat hepatic acycloenzyme A,https://www.apexbt.com/search.php?catalog=B1718,1
980,B1719,Cysteamine HCl,156-57-0,B03,L1021-12,113.61,DMSO,C2H7NS·HCl,C(CS)N.Cl,≥24.35 mg/mL in EtOH; ≥52.1 mg/mL in H2O; ≥7.05 mg/mL in DMSO,Hydrochloride,Others,Others,Drug used to treat cystinosis,https://www.apexbt.com/search.php?catalog=B1719,1
981,B1721,D-Cycloserine,68-41-7,B04,L1021-12,102.09,H2O,C3H6N2O2,C1C(C(=O)NO1)N,insoluble in DMSO; insoluble in EtOH; ≥51 mg/mL in H2O,,Microbiology & Virology,Anti-infection,NMDA receptor (NMDAR) partial agonist,https://www.apexbt.com/search.php?catalog=B1721,1
982,B1723,Deferiprone,30652-11-0,B05,L1021-12,139.15,H2O,C7H9NO2,CC1=C(C(=O)C=CN1C)O,insoluble in DMSO; insoluble in EtOH; ≥10.96 mg/mL in H2O,,Others,Others,Chelating agent,https://www.apexbt.com/search.php?catalog=B1723,1
983,B1724,Deoxycorticosterone acetate,56-47-3,B06,L1021-12,372.5,DMSO,C23H32O4,CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,insoluble in H2O; insoluble in EtOH; ≥16.4 mg/mL in DMSO,Free Base,GPCR/G protein,Adrenergic Receptor,Steroid hormone,https://www.apexbt.com/search.php?catalog=B1724,1
984,B1725,Dexlansoprazole,138530-94-6,B07,L1021-12,369.36,DMSO,C16H14F3N3O2S,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,insoluble in H2O; ≥12.6 mg/mL in DMSO; ≥46.4 mg/mL in EtOH,Free Base,Membrane Transporter/Ion Channel,Proton Pump,Proton pump inhibitor,https://www.apexbt.com/search.php?catalog=B1725,1
985,B1726,Diacerein,13739-02-1,B08,L1021-12,368.29,DMSO,C19H12O8,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C=C(C=C3C2=O)C(=O)O)OC(=O)C,insoluble in EtOH; insoluble in H2O; ≥46.07 mg/mL in DMSO,,Others,IL Receptor,IL receptor inhibitor,https://www.apexbt.com/search.php?catalog=B1726,1
986,B1727,Dibenzothiophene,132-65-0,B09,L1021-12,184.26,DMSO,C12H8S,C1=CC=C2C(=C1)C3=CC=CC=C3S2,insoluble in EtOH; insoluble in H2O; ≥8.75 mg/mL in DMSO ,Free Base,Others,Others,Intermediate of organic synthesis,https://www.apexbt.com/search.php?catalog=B1727,1
987,B1728,Difluprednate,23674-86-4,B10,L1021-12,508.55,DMSO,C27H34F2O7,CCCC(=O)OC1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C(=O)COC(=O)C,insoluble in H2O; insoluble in EtOH; ≥138.6 mg/mL in DMSO,,Others,Others,Corticosteroid,https://www.apexbt.com/search.php?catalog=B1728,1
988,B1729,Diminazene Aceturate,908-54-3,B11,L1021-12,515.52,DMSO,C14H15N7·2C4H7NO3,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N,≥24.35 mg/mL in DMSO; insoluble in EtOH; ≥53.7 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=B1729,1
989,B1730,Dinitolmide,148-01-6,C01,L1021-12,225.16,DMSO,C8H7N3O5,CC1=C(C=C(C=C1C(=O)N)[N+](=O)[O-])[N+](=O)[O-],≥45 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,Microbiology,Anti-infection,broad-spectrum anticoccidial drug,https://www.apexbt.com/search.php?catalog=B1730,1
990,B1731,Dirithromycin,62013-04-1,C02,L1021-12,835.07,EtOH,C42H78N2O14,CCC1C(C2C(C(C(CC(C(C(C(C(C(=O)O1)C)OC3CC(C(C(O3)C)O)(C)OC)C)OC4C(C(CC(O4)C)N(C)C)O)(C)O)C)NC(O2)COCCOC)C)(C)O,≥40.5 mg/mL in EtOH; insoluble in H2O; ≥42.3 mg/mL in DMSO,Free Base,Microbiology & Virology,Anti-infection,Macrolide glycopeptide antibiotic,https://www.apexbt.com/search.php?catalog=B1731,1
991,B1733,Domiphen Bromide,538-71-6,C03,L1021-12,414.46,DMSO,C22H40NO·Br,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],≥11.55 mg/mL in DMSO; ≥14.33 mg/mL in H2O with ultrasonic; ≥48.9 mg/mL in EtOH,Free Base,Others,Others,Quaternary ammonium antiseptic,https://www.apexbt.com/search.php?catalog=B1733,1
992,B1734,Doxofylline,69975-86-6,C04,L1021-12,266.25,DMSO,C11H14N4O4,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC3OCCO3,insoluble in EtOH; ≥11.4 mg/mL in DMSO; ≥8.32 mg/mL in H2O with ultrasonic,Free Base,Metabolism,PDE,PDE inhibitor,https://www.apexbt.com/search.php?catalog=B1734,1
993,B1735,Doxylamine Succinate,562-10-7,C05,L1021-12,388.46,DMSO,C17H22N2O·C4H6O4,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,≥117 mg/mL in H2O; ≥14.2 mg/mL in DMSO; ≥46.6 mg/mL in EtOH,Succinate,Neuroscience,Histamine Receptor,Histamine receptor inhibitor,https://www.apexbt.com/search.php?catalog=B1735,1
994,B1736,Droperidol,548-73-2,C06,L1021-12,379.43,DMSO,C22H22FN3O2,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,insoluble in EtOH; insoluble in H2O; ≥18.97 mg/mL in DMSO,Free Base,Neuroscience,Dopamine Receptor,Dopamine-2 receptor antagonist,https://www.apexbt.com/search.php?catalog=B1736,1
995,B1737,Dropropizine,17692-31-8,C07,L1021-12,236.31,DMSO,C13H20N2O2,C1CN(CCN1CC(CO)O)C2=CC=CC=C2,≥10.3 mg/mL in DMSO; ≥11.7 mg/mL in H2O with ultrasonic; ≥24.9 mg/mL in EtOH,Free Base,Others,Others,Racemic non-opiate antitussive agent,https://www.apexbt.com/search.php?catalog=B1737,1
996,B1740,Ebastine,90729-43-4,C08,L1021-12,469.66,DMSO,C32H39NO2,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,insoluble in H2O; ≥16.6 mg/mL in EtOH; ≥8.8 mg/mL in DMSO with ultrasonic,Free Base,Neuroscience,Histamine Receptor,Histamine receptor antagonist,https://www.apexbt.com/search.php?catalog=B1740,1
997,B1741,Efaproxiral Sodium,170787-99-2,C09,L1021-12,363.38,DMSO,C20H23NO4·Na,CC1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC(C)(C)C(=O)[O-])C.[Na+],≥12.83 mg/mL in H2O with ultrasonic; ≥18.4 mg/mL in DMSO; ≥18.45 mg/mL in EtOH,,Others,Others,Synthetic allosteric modifier of hemoglobin,https://www.apexbt.com/search.php?catalog=B1741,1
998,B1742,Enrofloxacin,93106-60-6,C10,L1021-12,359.39,DMSO,C19H22FN3O3,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,insoluble in H2O; ≥15 mg/mL in DMSO with gentle warming; ≥2.49 mg/mL in EtOH with gentle warming and ultrasonic,,Microbiology & Virology,Anti-infection,Fluoroquinolone antibiotic,https://www.apexbt.com/search.php?catalog=B1742,1
999,B1743,Epalrestat,82159-09-9,C11,L1021-12,319.4,DMSO,C15H13NO3S2,CC(=CC1=CC=CC=C1)C=C2C(=O)N(C(=S)S2)CC(=O)O,insoluble in H2O; insoluble in EtOH; ≥6.375 mg/mL in DMSO with gentle warming,,Others,Others,aldose reductase inhibitor,https://www.apexbt.com/search.php?catalog=B1743,1
1000,B1744,Epinastine HCl,108929-04-0,D01,L1021-12,285.77,DMSO,C16H15N3·HCl,Cl[H].[H]C1(C([H])([H])N=C2N([H])[H])N2C3=C([H])C([H])=C([H])C([H])=C3C([H])([H])C4=C([H])C([H])=C([H])C([H])=C14,≥13.4 mg/mL in DMSO; ≥56 mg/mL in H2O; ≥56.8 mg/mL in EtOH,Hydrochloride,Neuroscience,Histamine Receptor,Histamine receptor antagonist,https://www.apexbt.com/search.php?catalog=B1744,1
1001,B1745,Eprazinone 2HCl,10402-53-6,D02,L1021-12,453.44,H2O,C24H32N2O2·2HCl,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,insoluble in EtOH; insoluble in DMSO; ≥37.95 mg/mL in H2O with gentle warming,,Others,Others,Aucolytic,https://www.apexbt.com/search.php?catalog=B1745,1
1002,B1746,Eprosartan Mesylate,144143-96-4,D03,L1021-12,520.62,DMSO,C24H28N2O7S2,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O.CS(=O)(=O)O,≥22.15 mg/mL in DMSO; insoluble in H2O; ≥16.83 mg/mL in EtOH with ultrasonic,Free Base,GPCR/G protein,Angiotensin Receptor,Angiotensin AT1 receptor antagonists,https://www.apexbt.com/search.php?catalog=B1746,1
1003,B1747,Erythritol,149-32-6,D04,L1021-12,122.12,DMSO,C4H10O4,C(C(C(CO)O)O)O,insoluble in EtOH; ≥115.6 mg/mL in H2O; ≥6 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=B1747,1
1004,B1748,Esmolol HCl,81161-17-3,D05,L1021-12,331.83,DMSO,C16H25NO4·HCl,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,≥102.4 mg/mL in EtOH; ≥104.8 mg/mL in H2O; ≥16.59 mg/mL in DMSO,Hydrochloride,GPCR/G protein,Adrenergic Receptor,Adrenergic receptor antagonist,https://www.apexbt.com/search.php?catalog=B1748,1
1005,B1749,Ethacridine lactate monohydrate,6402-23-9,D06,L1021-12,361.39,DMSO,C15H15N3O·C3H6O3·H2O,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N.CC(C(=O)O)O.O,≥17.05 mg/mL in DMSO; ≥25.1 mg/mL in H2O; ≥3.73 mg/mL in EtOH with ultrasonic,Lactate,Microbiology & Virology,Anti-infection,Antiseptic agent,https://www.apexbt.com/search.php?catalog=B1749,1
1006,B1750,Ethamsylate,2624-44-4,D07,L1021-12,263.31,DMSO,C6H6O5S·C4H11N,CCNCC.C1=CC(=C(C=C1O)S(=O)(=O)O)O,≥113.8 mg/mL in H2O; ≥12.5 mg/mL in DMSO; ≥14.83 mg/mL in EtOH with ultrasonic,Free Base,Immunology/Inflammation,Prostaglandin Receptor,Haemostatic drug,https://www.apexbt.com/search.php?catalog=B1750,1
1007,B1752,Etidronate,2809-21-4,D08,L1021-12,206.03,DMSO,C2H8O7P2,CC(O)(P(=O)(O)O)P(=O)(O)O,≥12.71 mg/mL in EtOH; ≥40.8 mg/mL in DMSO; ≥76.2 mg/mL in H2O,,Others,phosphatase,Protein tyrosine phosphatase inhibitor,https://www.apexbt.com/search.php?catalog=B1752,1
1008,B1754,Fenspiride HCl,5053-08-7,D09,L1021-12,296.79,DMSO,C15H21ClN2O2,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3.Cl,≥14.84 mg/mL in DMSO; ≥4.08 mg/mL in EtOH; ≥40.4 mg/mL in H2O,Hydrochloride,Neuroscience,5-HT Receptor,α adrenergic and H1 histamine receptor antagonist,https://www.apexbt.com/search.php?catalog=B1754,1
1009,B1755,Fidaxomicin,873857-62-6,D10,L1021-12,1058.04,DMSO,C52H74Cl2O18,CCC1C=C(C(CC=CC=C(C(=O)OC(CC=C(C=C(C1OC2C(C(C(C(O2)(C)C)OC(=O)C(C)C)O)O)C)C)C(C)O)COC3C(C(C(C(O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)C,≥35.27 mg/mL in DMSO; insoluble in H2O; ≥12.25 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,DNA/RNA Synthesis,macrocyclic antibiotic,https://www.apexbt.com/search.php?catalog=B1755,1
1010,B1757,Flopropione,2295-58-1,D11,L1021-12,182.17,DMSO,C9H10O4,CCC(=O)C1=C(C=C(C=C1O)O)O,≥33.1 mg/mL in DMSO; ≥32.5 mg/mL in EtOH; insoluble in H2O,,Neuronal Signaling,5-HT Receptor,5-HT1A receptor antagonist,https://www.apexbt.com/search.php?catalog=B1757,1
1011,B1758,Florfenicol,73231-34-2,E01,L1021-12,358.21,DMSO,C12H14Cl2FNO4S,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,insoluble in H2O; ≥10.56 mg/mL in EtOH; ≥15.05 mg/mL in DMSO,Free Base,Microbiology & Virology,Anti-infection,Antibacterial agent,https://www.apexbt.com/search.php?catalog=B1758,1
1012,B1759,Flubendazole,31430-15-6,E02,L1021-12,313.28,DMSO,C16H12FN3O3,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,insoluble in H2O; insoluble in EtOH; ≥10.71 mg/mL in DMSO with gentle warming,,Ubiquitination/Proteasome,Autophagy,Autophagy activator,https://www.apexbt.com/search.php?catalog=B1759,1
1013,B1760,Flufenamic acid,530-78-9,E03,L1021-12,281.23,DMSO,C14H10F3NO2,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,insoluble in EtOH; ≥49.6 mg/mL in H2O; ≥50 mg/mL in DMSO,,Immunology/Inflammation,AMPK; Calcium Channel; Chloride Channel; COX; Potassium Channel,TRPC activator,https://www.apexbt.com/search.php?catalog=B1760,1
1014,B1761,Flumethasone,2135-17-3,E04,L1021-12,410.45,DMSO,C22H28F2O5,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F,insoluble in H2O; ≥14.3 mg/mL in DMSO with gentle warming; ≥2.97 mg/mL in EtOH with gentle warming,Free Base,GPCR/G protein,Glucocorticoid Receptor,Glucocorticoid receptor agonist,https://www.apexbt.com/search.php?catalog=B1761,1
1015,B1763,Fudosteine,13189-98-5,E05,L1021-12,179.24,H2O,C6H13NO3S,C(CO)CSCC(C(=O)O)N,insoluble in EtOH; ≥2.47 mg/mL in DMSO with gentle warming and ultrasonic; ≥6 mg/mL in H2O,,Others,Others,MUC5AC mucin hypersecretion inhibitor,https://www.apexbt.com/search.php?catalog=B1763,1
1016,B1764,Furaltadone HCl,3759-92-0,E06,L1021-12,360.75,DMSO,C13H16N4O6·HCl,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-].Cl,insoluble in EtOH; ≥12.4 mg/mL in DMSO with gentle warming; ≥34.35 mg/mL in H2O,Hydrochloride,Microbiology & Virology,Anti-infection,Antibacterial agent,https://www.apexbt.com/search.php?catalog=B1764,1
